equipment,latitude,longitude,address,bus_lane,bike_lane,parking_lane,number_lanes,Radar nos 2 sentidos da via,endereço alterado,revisados
FS551JOI,-26.26574,-48.80091,"Rua Areia Branca, 681 ",0,0,0,1,x,x,ok
FS552JOI,-26.22783,-48.90053,"Rua Dona Francisca, 11657",0,0,0,1,-,-,ok
FS555JOI,-26.2836,-48.80301,"Rua Pref. Baltazar Buschle, 630",0,1,0,1,x,-,ok
FS556JOI,-26.30404,-48.86261,"Rua Camboriú, 300",0,1,0,1,x,-,ok
FS557JOI,-26.36076,-48.83406,"Rua Boehmerwald, 497",0,1,0,1,x,x,ok
FS558JOI,-26.31945,-48.83094,"Rua Graciosa, 1000",0,1,0,2,-,-,ok
FS559JOI,-26.31602,-48.83758,"Rua Inácio Bastos, 770",0,1,1,2,-,-,ok
FS560JOI,-26.27482,-48824,"Rua Papa João XXIII, 500",0,1,0,2,-,-,ok
FS561JOI,-26.25815,-48.82012,"Rua Tuiuti, 1500",0,1,0,1,x,-,ok
FS562JOI,-26.2741,-48.84875,"Rua Dona Francisca, 3651",0,1,0,2,-,-,ok
FS563JOI,-26.33583,-48.84758,"Rua Santa Catarina, 1450",1,0,0,2,-,-,ok
FS564JOI,-26.31668,-48.85893,"Rua Gothard Kaesemodel, 326",0,1,0,1,x,-,ok
FS565JOI,-26.38367,-48.82202,"Rua Waldomiro José Borges, 4104",0,0,0,1,x,x,ok
FS566JOI,-26.28226,-48.81352,"Rua Xavier Arp, 250",0,0,0,2,-,-,ok
FS567JOI,"-26,29493","-48,84791",Dr. João Colin x Max Colin,1,0,0,2,-,-,ok
FS568JOI,-26.31651,-48.8426,Rua São Paulo x Rua Inácio Bastos,1,0,0,2,-,-,ok
FS569JOI,-26.2998,-48.8424,Av.Dr. Albano Schultz x Rua Princesa Izabel,1,0,0,2,-,-,ok
FS570JOI,-26.30008,-48.84182,Av. Hermann August Lepper x Rua Otto E. Lepper,0,0,0,3,-,-,ok
FS571JOI,"-26,27452","-48,85105",Rua Blumenau x Presidente Prudente de Moraes,0,0,0,3,-,-,ok
FS572JOI,-26.32416,-48.83737,Rua Florianópolis x Rua Graciosa,0,0,0,2,-,-,ok
FS573JOI,-26.31777,-48.85774,"Rua Gothard Kaesemodel, 533",0,1,0,1,-,-,ok
FS575JOI,-26.27682,-48.87508,Rua Comandante Paulo Serra 580,-,-,-,-,-,x,ok
FS576JOI,-26.32551,-48.80962,"Rua Marechal Luz, 831",0,0,0,2,-,x,ok
FS577JOI,-26.27658,-48.80753,"Rua Ponte Serrada, 440",0,1,0,1,x,-,ok
